FORPRINT: Tue Feb  4 19:18:07 2014
       21269.524      -2706.9327
       21279.342      -2683.8694
       21289.160      -2809.5344
       21298.978      -2835.8246
       21308.796      -2741.7480
       21318.614      -2802.8751
       21328.432      -2763.1225
       21338.250      -2596.8201
       21348.068      -2622.5112
       21357.886      -2575.9838
       21367.704      -2384.2626
       21377.522      -2365.5316
       21387.340      -2306.6221
       21397.158      -2122.5864
       21406.976      -2106.8302
       21416.794      -2041.1084
       21426.612      -1835.0312
       21436.430      -1822.3258
       21446.248      -1780.9396
       21456.066      -1573.6012
       21465.884      -1528.0759
       21475.702      -1474.5401
       21485.520      -1266.5583
       21495.338      -1202.0838
       21505.156      -1106.7937
       21514.974      -826.74107
       21524.792      -694.79153
       21534.610      -533.70977
       21544.428      -140.19833
       21554.246       169.09989
       21564.064       524.62480
       21573.882       1143.0177
       21583.700       1752.6881
       21593.518       2502.4061
       21603.336       3636.6558
       21613.154       4881.1223
       21622.972       6425.3353
       21632.790       8621.0729
       21642.608       11305.442
       21652.426       14760.675
       21662.244       19573.160
       21672.062       26014.460
       21681.880       35086.924
       21691.698       48801.334
       21701.516       70578.705
       21711.334       110053.98
       21721.152       202596.42
       21730.970       709339.76
       21740.788       820792.96
       21750.606       447418.81
       21760.424       326519.90
       21770.242       261839.56
       21780.060       220184.15
       21789.878       190249.49
       21799.696       167215.34
       21809.514       148929.31
       21819.332       133721.09
       21829.150       120650.16
       21838.968       109445.93
       21848.786       99498.756
       21858.604       90462.122
       21868.422       82431.819
       21878.240       75010.301
       21888.058       68001.106
       21897.876       61644.962
       21907.694       55653.039
       21917.512       49837.049
       21927.330       44462.697
       21937.148       39318.918
       21946.966       34245.945
       21956.784       29527.159
       21966.602       24944.153
       21976.420       20338.996
       21986.238       16034.992
       21996.056       11854.276
       22005.874       7598.6402
       22015.692       3572.3108
       22025.510      -351.70456
       22035.328      -4362.4394
       22045.146      -8157.0863
       22054.964      -11881.165
       22064.782      -15732.162
       22074.600      -19379.272
       22084.418      -22931.509
       22094.236      -26628.064
       22104.054      -30167.522
       22113.872      -33610.848
       22123.690      -37188.019
       22133.508      -40603.830
       22143.326      -43938.523
       22153.144      -47431.599
       22162.962      -50764.869
       22172.780      -53981.448
       22182.598      -57358.865
       22192.416      -60614.743
       22202.234      -63744.844
       22212.052      -67014.324
       22221.870      -70149.462
       22231.688      -73164.788
       22241.506      -76333.852
       22251.324      -79363.176
       22261.142      -82228.894
       22270.960      -85236.896
       22280.778      -88134.034
       22290.596      -90849.118
       22300.414      -93670.302
       22310.232      -96353.279
       22320.050      -98843.468
       22329.868      -101433.14
       22339.686      -103857.71
       22349.504      -106019.52
       22359.322      -108231.62
       22369.140      -110266.67
       22378.958      -111971.28
       22388.776      -113622.51
       22398.594      -114984.46
       22408.412      -115894.88
       22418.230      -116596.31
       22428.048      -116781.77
       22437.866      -116167.34
       22447.684      -114888.72
       22457.502      -112485.70
       22467.320      -108295.42
       22477.138      -101832.02
       22486.956      -91505.499
       22496.774      -74223.031
       22506.592      -43288.694
       22516.410       23850.334
       22526.228       267575.26
       22536.046       1099423.6
       22545.864       367441.45
       22555.682       209939.76
       22565.500       132945.94
       22575.318       85027.538
       22585.136       51545.399
       22594.954       26140.769
       22604.772       5930.0564
       22614.590      -10497.474
       22624.408      -24461.920
       22634.226      -36571.012
       22644.044      -46984.978
       22653.862      -56296.889
       22663.680      -64706.580
       22673.498      -72129.996
       22683.316      -78981.048
       22693.134      -85326.448
       22702.952      -90963.685
       22712.770      -96247.285
       22722.588      -101254.25
       22732.406      -105718.01
       22742.224      -109927.67
       22752.042      -113951.38
       22761.860      -117533.66
       22771.678      -120949.61
       22781.496      -124247.56
       22791.314      -127135.99
       22801.132      -129882.27
       22810.950      -132587.31
       22820.768      -134931.94
       22830.586      -137137.96
       22840.404      -139313.75
       22850.222      -141168.08
