FORPRINT: Mon Feb  3 16:23:31 2014
       16609.549      -41.304489
       16609.559      -41.614189
       16609.569      -41.923492
       16609.579      -42.232154
       16609.589      -42.540345
       16609.599      -42.847999
       16609.609      -43.155108
       16609.619      -43.461668
       16609.629      -43.767669
       16609.639      -44.073106
       16609.649      -44.377914
       16609.659      -44.682202
       16609.669      -44.985904
       16609.679      -45.289016
       16609.689      -45.591529
       16609.699      -45.893437
       16609.709      -46.194733
       16609.719      -46.495411
       16609.729      -46.795464
       16609.739      -47.094828
       16609.749      -47.393611
       16609.759      -47.691749
       16609.769      -47.989236
       16609.779      -48.286066
       16609.789      -48.582231
       16609.799      -48.877725
       16609.809      -49.172485
       16609.819      -49.466675
       16609.829      -49.760063
       16609.839      -50.052810
       16609.849      -50.344854
       16609.859      -50.636190
       16609.869      -50.926810
       16609.879      -51.216709
       16609.889      -51.505880
       16609.899      -51.794262
       16609.909      -52.081959
       16609.919      -52.368910
       16609.929      -52.655108
       16609.939      -52.940549
       16609.949      -53.225224
       16609.959      -53.509129
       16609.969      -53.792258
       16609.979      -54.074604
       16609.989      -54.356108
       16609.999      -54.636871
       16610.009      -54.916835
       16610.019      -55.195992
       16610.029      -55.474337
       16610.039      -55.751864
       16610.049      -56.028568
       16610.059      -56.304391
       16610.069      -56.579483
       16610.079      -56.853630
       16610.089      -57.126983
       16610.099      -57.399485
       16610.109      -57.671128
       16610.119      -57.941909
       16610.129      -58.211822
       16610.139      -58.480860
       16610.149      -58.748968
       16610.159      -59.016242
       16610.169      -59.282626
       16610.179      -59.548114
       16610.189      -59.812701
       16610.199      -60.076382
       16610.209      -60.339151
       16610.219      -60.601004
       16610.229      -60.861934
       16610.239      -61.121888
       16610.249      -61.380959
       16610.259      -61.639092
       16610.269      -61.896283
       16610.279      -62.152527
       16610.289      -62.407818
       16610.299      -62.662151
       16610.309      -62.915473
       16610.319      -63.167925
       16610.329      -63.419308
       16610.339      -63.669762
       16610.349      -63.919234
       16610.359      -64.167719
       16610.369      -64.415213
       16610.379      -64.661711
       16610.389      -64.907207
       16610.399      -65.151652
       16610.409      -65.395133
       16610.419      -65.637600
       16610.429      -65.879047
       16610.439      -66.119470
       16610.449      -66.358865
       16610.459      -66.597228
       16610.469      -66.834553
       16610.479      -67.070837
       16610.489      -67.306030
       16610.499      -67.540218
       16610.509      -67.773351
       16610.519      -68.005426
       16610.529      -68.236438
       16610.539      -68.466383
       16610.549      -68.695257
       16610.559      -68.923013
       16610.569      -69.149775
       16610.579      -69.375368
       16610.589      -69.599917
       16610.599      -69.823375
       16610.609      -70.045737
       16610.619      -70.267001
       16610.629      -70.487161
       16610.639      -70.706214
       16610.649      -70.924116
       16610.659      -71.140945
       16610.669      -71.356656
       16610.679      -71.571245
       16610.689      -71.784709
       16610.699      -71.997044
       16610.709      -72.208246
       16610.719      -72.418272
       16610.729      -72.627239
       16610.739      -72.834983
       16610.749      -73.041659
       16610.759      -73.247108
       16610.769      -73.451442
       16610.779      -73.654620
       16610.789      -73.856637
       16610.799      -74.057492
       16610.809      -74.257142
       16610.819      -74.455699
       16610.829      -74.653008
